id,truckstop_id,truckstop_name,address,city,state,rack_id,retail_price,latitude,longitude
1641,52531,FLYING J FUEL STOP #768,"I-435, EXIT 57",Kansas City,MO,400,3.382,39.1727771,-94.488587
1642,52534,LEES FOOD MART #1122,"I-75, EXIT 122 & SR-61",Clinton,TN,405,2.969,36.1034126,-84.1318632
1643,52535,PWI #115,"I-45, EXIT 178",Buffalo,TX,765,2.899,31.030974,-98.326329
1644,52537,TA Express Osseo #431,"I-94, EXIT 88",Osseo,WI,448,3.469,44.5772777,-91.2228203
1645,52539,PILOT TRAVEL CENTERS #331,"I-285 , EXIT 51",Atlanta,GA,18,3.599,33.7544657,-84.3898151
1647,52541,PANTRY TRUCKSTOP,US-2/US-41,Rapid River,MI,360,3.499,45.9258415,-86.9845094
1651,52546,CIRCLE K #2723910,US-84 & US-27,Bainbridge,GA,20,3.599,30.89116,-84.568147
1652,52548,Henderson Fuel Mart,"I-80, EXIT 342",Henderson                               ,NE,350,2.899,40.82112,-97.807
1653,52549,SPEEDWAY #3328,"I-77, EXIT 159 A",Cleveland,OH,305,3.799,41.4996574,-81.6936772
1654,52550,PILOT TRAVEL CENTERS #404,"I-24, EXIT 81 SE",Murfreesboro,TN,460,3.472,35.8460396,-86.3921096
1655,52551,PILOT TRAVEL CENTERS #374,"I-10, EXIT 142 & SR-71",Marianna,FL,20,3.599,30.7743596,-85.2268735
1657,52552,FLYING J TRAVEL PLAZA #672,"I-49/US-71, EXIT167 & CR-J",Peculiar,MO,400,3.422,38.7145481,-94.4611204
1658,52553,FLYING J TRAVEL PLAZA #689,"I-40, EXIT 153",Albuquerque,NM,580,3.549,35.0841034,-106.650985
1659,52557,SPRINT MART #40,US-72 & SR-247,Tuscumbia,AL,615,3.189,34.7318811,-87.7028627
1660,52558,LOVES TRAVEL STOP #271,"I-40, EXIT 37 & US-219",Ozark,AR,695,3.392,35.4888029,-93.831516
1662,52563,FLYING J TRAVEL PLAZA #631,"I-75, EXIT 2",Lake Park,GA,20,3.322,30.679665,-83.222679
1663,52564,FLYING J TRAVEL PLAZA #669,"I-44, EXIT 11A & US-71/SR-249 & SR-FF",Joplin,MO,277,3.412,37.0841838,-94.5133385
1664,52565,PILOT TRAVEL CENTERS #377,"I-35, EXIT 13",Laredo,TX,693,3.599,27.555445,-99.497722
1665,52566,YUMM,"I-35, EXIT 8",Laredo,TX,598,2.876,27.5079211,-99.5069834
1666,52575,PILOT TRAVEL CENTERS #775,"I-15, EXIT 4",Saint George,UT,910,3.676,37.050267,-113.559923
1667,52577,PILOT TRAVEL CENTER #329,"I-29 & I-80, EXIT 1B",Council Bluffs,IA,319,3.659,41.258841,-95.8519484
1669,52580,LOVES TRAVEL STOP #405,"I-95, EXIT 29",Brunswick,GA,75,3.321,31.13976,-81.58205
1671,52581,TA WILLCOX TRAVEL CENTER,"I-10, EXIT 340",Willcox,AZ,980,3.282,32.2529138,-109.8315759
1672,52582,JRs Oasis,SR-50,Yankton,SD,572,3.149,42.8712938,-97.3967011
1673,52585,SUPERPUMPER #22,"I-94, EXIT 42",Belfield,ND,807,3.529,46.8852906,-103.1996219
1674,52587,PILOT TRAVEL CENTERS #380,"I-81, EXIT 25 & I-90, EXIT 36",Liverpool,NY,220,4.159,43.106456,-76.217705
1675,52588,STRIPES #42564,US-87,Lubbock,TX,700,3.199,33.396712,-101.814306
1676,52590,FLYING J TRAVEL PLAZA #661,"I-65, EXIT 2 & US-31W",Franklin,KY,415,3.169,36.722263,-86.5772177
1934,61102,FAST LANE #54,US-63,Columbia,MO,310,3.207,38.8995793,-92.283144
1678,52594,PILOT TRAVEL CENTERS #348,"I-70, EXIT 32B",Bentleyville,PA,165,4.109,40.1167387,-80.0083855
1679,52595,7-ELEVEN #40281,"I-476,  EXIT 35/95",Jim Thorpe,PA,90,3.589,40.8636074,-75.7386948
1680,52597,7-ELEVEN #40278,"I-81, EXIT 44 & I-76",Plainfield,PA,70,3.967,40.203143,-77.2899837
1681,52598,7-ELEVEN #40283,"I-76, EXIT 19/247",Middletown,PA,70,3.971,36.7324856,-119.7873293
1683,52601,LOVES TRAVEL STOP #236,"I-40, EXIT 161 & SR-391",North Little Rock,AR,695,3.221,34.769536,-92.2670941
1684,52602,7-ELEVEN #40277,"I-76, EXIT 16/226",Newburg,PA,70,4.299,40.70315,-75.32962
1685,52603,CASEYS #3364,US-281 & SR-200,Carrington,ND,341,3.439,47.44972,-99.126224
1686,52605,PILOT TRAVEL CENTER #39,"I-57, EXIT 335",Monee,IL,290,3.559,41.42698,-87.75949
1691,52607,PILOT TRAVEL CENTERS #409,"I-40, EXIT 172",Dickson                                 ,TN,460,3.192,36.0766534,-87.3870096
1692,52608,PILOT #7971,"I-40, EXIT 133",Conover,NC,46,3.699,35.7065004,-81.2184383
1693,52610,TA HARBORCREEK TRAVEL CENTER,"I-90, EXIT 35",Erie,PA,240,4.199,42.1294712,-80.0852695
1694,52611,STRIPES #40530,SR-239,Del Rio,TX,740,3.229,29.355319,-100.917395
1695,52612,STRIPES 7FLEET #42568,US-60 & CR-G,Hereford,TX,700,3.351,34.8245521,-102.398778
1697,52616,PILOT TRAVEL CENTER #28,I-69 EXIT 234,Daleville,IN,457,3.649,40.1211546,-85.5580301
1699,52618,PILOT TRAVEL CENTERS #63,"I-85, EXIT 35",Piedmont,SC,30,3.222,34.7023389,-82.4645714
1700,52620,GOODLAND 24/7 STORE,"I-70, EXIT 19",Goodland,KS,525,3.087,39.37213,-101.72583
1701,52621,CORNER MARKET #111,"I-70, EXIT 27",Goodland,KS,525,3.059,39.3433971,-101.7279687
